"DATA","Temperatura massima (°C)","Temperatura media (°C)","Temperatura minima (°C)","Temperatura classe","Precipitazione (mm)","Precipitazione classe","Umidità massima (%)","Umidità media (%)","Umidità minima (%)","Umidità classe"
"1989-05-26","","","","M000","2.2","MZ","","","",""
"1989-05-27","16.0","12.5","10.4","M000","0.2","MY","","","",""
"1989-05-28","17.0","13.3","10.4","M000","2.0","MZ","","","",""
"1989-05-29","15.9","12.7","10.6","M000","1.4","MZ","","","",""
"1989-05-30","14.1","11.0","9.1","M000","1.0","MZ","","","",""
"1989-05-31","17.0","12.3","9.0","M000","0.4","MZ","","","",""
"1989-06-01","11.5","10.0","9.2","M000","2.0","MZ","","","",""
"1989-06-02","15.6","12.0","8.7","M000","0.0","MZ","","","",""
"1989-06-03","11.5","8.9","5.5","M000","3.2","MZ","","","",""
"1989-06-04","12.5","8.6","4.8","M000","0.0","MZ","","","",""
"1989-06-05","11.9","8.9","5.7","M000","0.0","MZ","","","",""
"1989-06-06","12.8","9.9","6.4","M000","0.0","MZ","","","",""
"1989-06-07","14.7","11.6","8.1","M000","0.0","MZ","","","",""
"1989-06-08","14.6","11.4","8.0","M000","2.0","MZ","","","",""
"1989-06-09","14.2","11.0","7.2","M000","0.0","MZ","","","",""
"1989-06-10","15.7","12.0","10.0","M000","3.6","MZ","","","",""
"1989-06-11","19.9","15.8","11.2","M000","0.0","MZ","","","",""
"1989-06-12","19.0","15.5","12.4","M000","0.4","MZ","","","",""
"1989-06-13","19.8","15.5","12.2","M000","11.6","MZ","","","",""
"1989-06-14","19.1","15.1","11.2","M000","2.4","MZ","","","",""
"1989-06-15","19.5","16.5","14.1","M000","0.0","MZ","","","",""
"1989-06-16","20.8","17.0","11.8","M000","0.0","MZ","","","",""
"1989-06-17","17.2","13.5","9.5","M000","0.0","MZ","","","",""
"1989-06-18","19.8","15.7","11.8","M000","3.2","MZ","","","",""
"1989-06-19","16.7","14.0","10.4","M000","2.2","MZ","","","",""
"1989-06-20","21.4","17.4","12.2","M000","0.0","MZ","","","",""
"1989-06-21","22.5","19.0","15.2","M000","0.0","MZ","","","",""
"1989-06-22","19.9","16.5","14.0","M000","0.6","MZ","","","",""
"1989-06-23","19.2","15.5","11.7","M000","0.0","MZ","","","",""
"1989-06-24","19.9","16.7","12.8","M000","0.0","MZ","","","",""
"1989-06-25","20.8","17.0","13.5","M000","0.8","MZ","","","",""
"1989-06-26","21.6","17.4","14.5","M000","5.2","MZ","","","",""
"1989-06-27","20.6","17.0","13.2","M000","1.4","MZ","","","",""
"1989-06-28","20.8","17.2","13.3","M000","0.0","MZ","","","",""
"1989-06-29","17.0","14.1","12.1","M000","0.0","MZ","","","",""
"1989-06-30","19.7","15.7","12.0","M000","0.0","MZ","","","",""
"1989-07-01","18.9","15.5","13.1","M000","1.4","MZ","","","",""
"1989-07-02","19.8","15.1","12.6","M000","1.0","MZ","","","",""
"1989-07-03","20.1","14.4","10.4","M000","16.0","MZ","","","",""
"1989-07-04","14.0","11.7","10.3","M000","7.8","MZ","","","",""
"1989-07-05","21.1","16.7","11.7","M000","0.0","MZ","","","",""
"1989-07-06","21.6","18.5","15.3","M000","0.8","MZ","","","",""
"1989-07-07","19.3","17.1","15.4","M000","14.6","MZ","","","",""
"1989-07-08","19.7","16.8","15.3","M000","5.0","MZ","","","",""
"1989-07-09","21.6","18.3","15.0","M000","0.0","MZ","","","",""
"1989-07-10","17.2","15.4","12.9","M000","12.0","MZ","","","",""
"1989-07-11","18.7","15.0","12.9","M000","7.0","MZ","","","",""
"1989-07-12","20.1","16.6","13.7","M000","0.2","MY","","","",""
"1989-07-13","21.6","18.7","15.3","M000","0.0","MZ","","","",""
"1989-07-14","21.5","18.0","13.3","M000","0.0","MZ","","","",""
"1989-07-15","19.0","15.6","12.3","M000","0.0","MZ","","","",""
"1989-07-16","21.6","17.4","13.0","M000","0.0","MZ","","","",""
"1989-07-17","21.9","18.8","15.4","M000","0.0","MZ","","","",""
"1989-07-18","20.4","16.7","11.6","M000","1.0","MZ","","","",""
"1989-07-19","21.8","18.8","16.0","M000","0.0","MZ","","","",""
"1989-07-20","20.8","17.3","14.1","M000","0.0","MZ","","","",""
"1989-07-21","21.3","18.1","15.5","M000","0.0","MZ","","","",""
"1989-07-22","21.4","18.7","16.7","M000","0.8","MZ","","","",""
"1989-07-23","24.1","19.8","17.3","M000","2.6","MZ","","","",""
"1989-07-24","22.9","19.5","17.5","M000","0.2","MZ","","","",""
"1989-07-25","19.5","17.4","13.6","M000","9.2","MZ","","","",""
"1989-07-26","24.7","21.0","17.1","M000","0.0","MZ","","","",""
"1989-07-27","23.1","20.1","16.8","M000","0.0","MZ","","","",""
"1989-07-28","21.9","18.4","14.5","M000","0.0","MZ","","","",""
"1989-07-29","21.1","17.7","15.0","M000","0.0","MZ","","","",""
"1989-07-30","21.9","18.4","15.6","M000","0.0","MZ","","","",""
"1989-07-31","26.0","19.3","15.9","M000","0.0","MZ","","","",""
"1989-08-01","22.5","17.4","12.3","M000","0.0","MZ","","","",""
"1989-08-02","17.7","14.0","9.7","M000","0.0","MZ","","","",""
"1989-08-03","19.1","15.1","10.3","M000","0.0","MZ","","","",""
"1989-08-04","19.9","16.4","13.0","M000","0.0","MZ","","","",""
"1989-08-05","18.0","15.1","12.8","M000","20.8","MZ","","","",""
"1989-08-06","18.8","15.2","13.0","M000","0.2","MY","","","",""
"1989-08-07","20.8","17.6","14.3","M000","0.0","MZ","","","",""
"1989-08-08","22.1","18.6","16.3","M000","2.6","MZ","","","",""
"1989-08-09","22.5","19.2","16.0","M000","0.0","MZ","","","",""
"1989-08-10","19.2","16.9","14.6","M000","0.2","MZ","","","",""
"1989-08-11","21.1","16.8","13.3","M000","0.2","MZ","","","",""
"1989-08-12","21.6","17.8","13.7","M000","0.0","MZ","","","",""
"1989-08-13","22.1","18.6","15.4","M000","0.0","MZ","","","",""
"1989-08-14","20.6","17.2","15.1","M000","44.8","MZ","","","",""
"1989-08-15","22.0","18.6","14.3","M000","0.0","MZ","","","",""
"1989-08-16","23.6","20.2","17.5","M000","0.0","MZ","","","",""
"1989-08-17","21.8","19.4","16.7","M000","0.0","MZ","","","",""
"1989-08-18","23.6","19.7","16.0","M000","0.0","MZ","","","",""
"1989-08-19","21.7","19.1","17.3","M000","0.0","MZ","","","",""
"1989-08-20","22.3","19.1","16.6","M000","0.0","MZ","","","",""
"1989-08-21","23.3","19.6","17.2","M000","0.4","MZ","","","",""
"1989-08-22","23.7","20.1","17.0","M000","0.4","MZ","","","",""
"1989-08-23","24.9","20.9","17.4","M000","0.0","MZ","","","",""
"1989-08-24","23.7","20.2","17.6","M000","0.0","MZ","","","",""
"1989-08-25","23.3","19.6","16.1","M000","0.0","MZ","","","",""
"1989-08-26","23.1","19.5","16.0","M000","0.0","MZ","","","",""
"1989-08-27","21.2","17.4","14.4","M000","0.2","MY","","","",""
"1989-08-28","21.0","16.3","11.9","M000","0.0","MZ","","","",""
"1989-08-29","18.0","14.1","9.8","M000","0.0","MZ","","","",""
"1989-08-30","19.3","14.6","10.2","M000","0.0","MZ","","","",""
"1989-08-31","18.6","14.1","10.0","M000","0.0","MZ","","","",""
"1989-09-01","14.6","12.9","12.0","M000","0.0","MZ","","","",""
"1989-09-02","12.6","11.2","9.7","M000","3.4","MZ","","","",""
"1989-09-03","13.8","11.7","8.6","M000","2.6","MZ","","","",""
"1989-09-04","14.0","10.0","6.9","M000","0.0","MZ","","","",""
"1989-09-05","16.7","13.3","10.2","M000","0.0","MZ","","","",""
