"DATA","Temperatura massima (°C)","Temperatura media (°C)","Temperatura minima (°C)","Temperatura classe","Precipitazione (mm)","Precipitazione classe","Velocità media (m/s)","Velocità raffica (m/s)","Settore prevalente","Durata calma (min)","Tempo permanenza (min)","Vento classe","Umidità massima (%)","Umidità media (%)","Umidità minima (%)","Umidità classe"
"2001-10-01","","17.0","","M000","0.0","MZ","0.1","","","1090","","M00000","","","",""
"2001-10-02","","16.6","","M000","0.0","MZ","0.0","","","1370","","M00000","","","",""
"2001-10-03","","17.5","","M000","1.6","MY","0.1","","","1050","","M00000","","","",""
"2001-10-04","","17.3","","M000","1.2","MZ","0.2","","","990","","M00000","","","",""
"2001-10-05","","16.9","","M000","4.0","MY","0.2","","","890","","M00000","","","",""
"2001-10-06","","17.7","","M000","0.2","MY","0.2","","","1000","","M00000","","","",""
"2001-10-07","","16.5","","M000","2.2","MZ","0.3","","","1070","","M00000","","","",""
"2001-10-08","","17.5","","M000","0.0","MZ","0.5","","","670","","M00000","","","",""
"2001-10-09","","16.6","","M000","7.0","MZ","0.7","","","600","","M00000","","","",""
"2001-10-10","","16.9","","M000","0.6","MZ","0.9","","","550","","M00000","","","",""
"2001-10-11","","16.4","","M000","0.2","MY","0.2","","","1060","","M00000","","","",""
"2001-10-12","","16.3","","M000","0.2","MY","0.2","","","1000","","M00000","","","",""
"2001-10-13","","16.5","","M000","0.2","MY","0.1","","","1140","","M00000","","","",""
"2001-10-14","","16.3","","M000","0.2","MY","0.2","","","980","","M00000","","","",""
"2001-10-15","","15.8","","M000","0.2","MY","0.2","","","1030","","M00000","","","",""
"2001-10-16","","15.1","","M000","0.0","MY","0.1","","","1040","","M*000*","","","",""
"2001-10-17","","14.5","","M000","0.2","MY","0.1","","","1140","","M00000","","","",""
"2001-10-18","","","","M000","","M0","","","","","","M00000","","","",""
"2001-10-19","","","","M000","","M0","","","","","","M00000","","","",""
"2001-10-20","","","","M000","","M0","","","","","","M00000","","","",""
"2001-10-21","","14.2","","M000","0.0","MZ","0.3","","","770","","M00000","","","",""
"2001-10-22","","12.6","","M000","0.4","MY","0.2","","","1060","","M00000","","","",""
"2001-10-23","","12.7","","M000","0.0","MY","0.2","","","1050","","M*000*","","","",""
"2001-10-24","","13.0","","M000","0.4","MY","0.2","","","880","","M*000*","","","",""
"2001-10-25","","11.7","","M000","0.2","MY","0.2","","","920","","M*000*","","","",""
"2001-10-26","","11.6","","M000","0.0","MY","0.1","","","1170","","M*000*","","","",""
"2001-10-27","","11.0","","M000","0.2","MY","0.1","","","1210","","M*000*","","","",""
"2001-10-28","","9.2","","M000","0.2","MY","0.1","","","1190","","M*000*","","","",""
"2001-10-29","","9.7","","M000","0.2","MY","0.2","","","1000","","M*000*","","","",""
"2001-10-30","","11.4","","M000","0.4","MY","0.3","","","910","","M*000*","","","",""
"2001-10-31","","11.5","","M000","0.0","MY","0.1","","","1140","","M*000*","","","",""
"2001-11-01","","12.3","","M000","0.0","MY","0.3","","","900","","M*000*","","","",""
"2001-11-02","","10.2","","M000","0.2","MY","0.3","","","880","","M*000*","","","",""
"2001-11-03","","8.6","","M000","0.0","MY","0.1","","","1150","","M*000*","","","",""
"2001-11-04","","7.4","","M000","0.2","MY","0.1","","","1200","","M*000*","","","",""
"2001-11-05","","7.4","","M000","0.2","MY","0.1","","","1230","","M*000*","","","",""
"2001-11-06","","9.3","","M000","0.0","MY","0.2","","","990","","M*000*","","","",""
"2001-11-07","","6.6","","M000","0.2","MY","0.1","","","1060","","M*000*","","","",""
"2001-11-08","","5.9","","M000","0.4","MY","0.2","","","890","","M*000*","","","",""
"2001-11-09","","5.8","","M000","0.0","MZ","0.9","","","410","","M00000","","","",""
