"DATA","Temperatura massima (°C)","Temperatura media (°C)","Temperatura minima (°C)","Temperatura classe","Velocità media (m/s)","Velocità raffica (m/s)","Settore prevalente","Durata calma (min)","Tempo permanenza (min)","Vento classe","Radiazione globale (MJ/m²)","Radiazione classe"
"2002-10-02","","","","M000","3.2","","SSE","0","770","MY0YYY","14.3","MY"
"2002-10-03","3.2","0.0","-1.9","MZZZ","1.3","","","290","","MZ000Z","19.0","MZ"
"2002-10-04","0.3","-1.5","-2.9","MZZZ","2.0","","","300","","MZ000Z","9.4","MZ"
"2002-10-05","1.2","-1.7","-3.1","MZZZ","3.8","","NW","0","510","MZ0YYZ","17.6","MZ"
"2002-10-06","-3.3","-5.1","-8.1","MZZZ","9.5","","NW","0","670","MZ0YYZ","11.3","MZ"
"2002-10-07","0.7","-2.8","-6.4","MZZZ","3.3","","WNW","60","430","MZ0YYZ","17.5","MZ"
"2002-10-08","-0.1","-2.7","-5.2","MZZZ","3.2","","W","40","570","MZ0YYZ","15.9","MZ"
"2002-10-09","-4.6","-5.1","-5.5","MZZZ","1.1","","","1090","","MY000Y","4.5","MZ"
"2002-10-10","-2.2","-3.3","-4.7","MZZZ","0.1","","","1370","","MY000Y","5.2","MZ"
"2002-10-11","-0.7","-3.0","-4.0","MZZZ","0.0","","","1440","","MY000Y","8.7","MZ"
"2002-10-12","-3.0","-4.5","-6.5","MZZZ","0.1","","","1230","","MY000Y","11.1","MZ"
"2002-10-13","0.8","-1.8","-6.4","MZZZ","4.3","","","490","","MY000Y","17.8","MY"
"2002-10-14","-0.3","-1.6","-2.6","MZZZ","10.8","","WNW","0","1210","MZ0YYZ","6.6","MZ"
"2002-10-15","3.8","1.3","-1.4","MZZZ","4.6","","WNW","70","680","MZ0YYZ","10.2","MZ"
"2002-10-16","2.4","0.3","-1.8","MZZZ","4.4","","SW","10","500","MZ0YYZ","11.0","MZ"
"2002-10-17","-1.8","-5.2","-11.6","MZZZ","7.0","","NW","0","480","MZ0YYZ","6.0","MZ"
