"DATA","Altezza neve al suolo (cm)","Altezza neve fresca (cm)","Temperatura massima (°C)","Temperatura minima (°C)"
"1990-01-01","4","0","-3","-10"
"1990-01-02","4","0","-3","-10"
"1990-01-03","4","0","-1","-9"
"1990-01-04","4","0","-1","-11"
"1990-01-05","4","0","-2","-10"
"1990-01-06","4","0","-2","-10"
"1990-01-07","4","0","-4","-11"
"1990-01-08","4","0","-4","-12"
"1990-01-09","4","0","-4","-12"
"1990-01-10","4","0","-2","-10"
"1990-01-11","3","0","0","-8"
"1990-01-12","3","0","1","-9"
"1990-01-13","3","0","0","-8"
"1990-01-14","3","0","1","-8"
"1990-01-15","3","0","0","-10"
"1990-01-16","3","0","0","-7"
"1990-01-17","3","0","4","-3"
"1990-01-18","3","0","4","-5"
"1990-01-19","3","0","0","-8"
"1990-01-20","3","0","1","-7"
"1990-01-21","3","0","-1","-6"
"1990-01-22","3","0","3","-6"
"1990-01-23","3","0","3","-5"
"1990-01-24","3","0","2","-6"
"1990-01-25","3","0","0","-7"
"1990-01-26","5","2","-2","-7"
"1990-01-27","5","0","-1","-8"
"1990-01-28","5","0","-2","-9"
"1990-01-29","10","5","-4","-9"
"1990-01-30","8","0","-1","-7"
"1990-01-31","6","0","1","-9"
"1990-02-01","6","0","-3","-10"
"1990-02-02","6","0","-2","-8"
"1990-02-03","6","0","1","-9"
"1990-02-04","5","0","-1","-8"
"1990-02-05","5","0","1","-8"
"1990-02-06","5","0","3","-6"
"1990-02-07","5","0","3","-7"
"1990-02-08","5","0","4","-5"
"1990-02-09","5","0","5","-6"
"1990-02-10","4","0","0","-9"
"1990-02-11","11","7","-1","-10"
"1990-02-12","14","5","0","-11"
"1990-02-13","20","6","-5","-11"
"1990-02-14","56","36","-4","-8"
"1990-02-15","45","0","4","-1"
"1990-02-16","30","0","2","-6"
"1990-02-17","25","5","1","-5"
"1990-02-18","20","0","4","-7"
"1990-02-19","20","0","4","-8"
"1990-02-20","15","0","2","-5"
"1990-02-21","15","0","6","-4"
"1990-02-22","12","0","6","-2"
"1990-02-23","11","0","6","-2"
"1990-02-24","10","0","7","-2"
"1990-02-25","9","0","7","-3"
"1990-02-26","8","0","6","-4"
"1990-02-27","7","0","6","-4"
"1990-02-28","6","0","6","-5"
"1990-03-01","14","8","5","-5"
"1990-03-02","12","0","4","-10"
"1990-03-03","12","0","-10","-13"
"1990-03-04","11","0","-4","-12"
"1990-03-05","11","0","1","-10"
"1990-03-06","10","0","5","-4"
"1990-03-07","8","0","7","-3"
"1990-03-08","6","0","7","-4"
"1990-03-09","8","2","4","-5"
"1990-03-10","5","0","2","-2"
"1990-03-11","0","0","7","-1"
"1990-03-12","0","0","11","1"
"1990-03-13","0","0","9","-1"
"1990-03-14","0","0","6","-2"
"1990-03-15","0","0","4","-3"
"1990-03-16","0","0","1","-3"
"1990-03-17","0","0","6","-4"
"1990-03-18","4","4","4","-6"
"1990-03-19","4","0","2","-8"
"1990-03-20","2","0","2","-4"
"1990-03-21","0","0","3","-4"
"1990-03-22","0","0","10","0"
"1990-03-23","0","0","10","1"
"1990-03-24","0","0","10","0"
"1990-03-25","0","0","5","-3"
"1990-03-26","0","0","3","-8"
"1990-03-27","2","2","-3","-11"
"1990-03-28","2","2","-5","-10"
"1990-03-29","20","18","2","-8"
"1990-03-30","13","0","9","-6"
"1990-03-31","11","0","5","-6"
"1990-04-01","9","0","5","-4"
"1990-04-02","9","0","5","-5"
"1990-04-03","19","10","4","-5"
"1990-04-04","23","4","8","-8"
"1990-04-05","20","0","5","-5"
"1990-04-06","25","5","2","-5"
"1990-04-07","40","15","5","-4"
"1990-04-08","30","0","8","-4"
"1990-04-09","25","5","7","-5"
"1990-04-10","25","0","7","-7"
"1990-04-11","21","0","7","-6"
"1990-04-12","18","0","5","-6"
"1990-04-13","15","0","4","-7"
"1990-04-14","17","2","6","-5"
"1990-04-15","29","12","5","-8"
"1990-04-16","30","1","8","-9"
"1990-04-17","26","0","5","-8"
"1990-04-18","25","2","3","-8"
"1990-04-19","22","0","3","-9"
"1990-04-20","38","16","5","-8"
"1990-04-21","90","52","-4","-8"
"1990-04-22","90","0","12","-8"
"1990-04-23","104","17","3","-7"
"1990-04-24","96","0","11","-8"
"1990-04-25","87","0","10","-6"
"1990-04-26","80","0","5","-5"
"1990-04-27","72","0","8","-5"
"1990-04-28","60","0","9","-3"
"1990-04-29","55","0","9","-2"
"1990-04-30","50","0","12","-3"
"1990-05-01","45","0","9","-1"
"1990-05-02","40","0","12","-1"
"1990-05-03","30","0","11","-1"
"1990-05-04","27","0","11","-1"
"1990-05-05","22","0","12","-1"
"1990-05-06","18","0","7","-2"
"1990-05-07","15","0","7","-2"
"1990-05-08","12","0","6","-2"
"1990-05-09","10","0","8","-1"
"1990-05-10","8","0","9","0"
"1990-05-11","4","0","10","0"
"1990-05-12","0","0","7","-2"
"1990-05-13","0","0","7","-1"
"1990-05-14","0","","8","0"
"1990-05-15","0","0","10","0"
"1990-05-16","0","0","8","-1"
"1990-05-17","0","0","12","2"
"1990-05-18","0","","12","2"
"1990-12-01","26","0","-4","-15"
"1990-12-02","20","0","-1","-10"
"1990-12-03","20","0","0","-8"
"1990-12-04","20","0","3","-5"
"1990-12-05","20","0","-2","-13"
"1990-12-06","20","0","-4","-11"
"1990-12-07","19","0","-2","-13"
"1990-12-08","29","10","-2","-12"
"1990-12-09","110","81","-6","-10"
"1990-12-10","125","15","-1","-12"
"1990-12-11","143","18","-4","-14"
"1990-12-12","143","18","",""
"1990-12-13","142","0","",""
"1990-12-14","135","0","",""
"1990-12-15","130","0","-2","-12"
"1990-12-16","128","0","-4","-15"
"1990-12-17","126","0","-4","-15"
"1990-12-18","126","0","-5","-15"
"1990-12-19","125","0","-7","-17"
"1990-12-20","120","0","-5","-14"
"1990-12-21","118","0","-3","-13"
"1990-12-22","116","0","-2","-10"
"1990-12-23","112","0","1","-9"
"1990-12-24","108","0","1","-8"
"1990-12-25","104","0","1","-19"
"1990-12-26","100","0","-4","-12"
"1990-12-27","98","3","1","-12"
"1990-12-29","100","0","-2","-12"
"1990-12-30","97","0","0","-3"
"1990-12-31","93","0","4","-7"
"1991-01-01","90","0","1","-8"
"1991-01-02","87","0","0","-6"
"1991-01-03","80","0","1","-6"
"1991-01-04","75","0","3","-8"
"1991-01-05","71","0","1","-10"
"1991-01-06","68","0","-1","-9"
"1991-01-07","67","2","2","-8"
"1991-01-08","64","0","-1","-8"
"1991-01-09","62","0","0","-10"
"1991-01-10","60","0","0","-9"
"1991-01-11","58","0","0","-8"
"1991-01-13","54","2","-3","-7"
"1991-01-14","110","55","-1","-8"
"1991-01-15","160","66","-3","-9"
"1991-01-16","160","0","1","-12"
"1991-01-17","155","0","-5","-17"
"1991-01-18","152","0","-5","-13"
"1991-01-19","150","0","-1","-11"
"1991-01-20","145","0","-1","-8"
"1991-01-21","140","0","-1","-10"
"1991-01-22","138","0","3","-12"
"1991-01-23","135","0","-3","-13"
"1991-01-24","133","0","-3","-12"
"1991-01-25","130","0","1","-10"
"1991-01-26","127","0","2","-9"
"1991-01-27","120","0","2","-9"
"1991-01-28","118","0","1","-9"
"1991-01-29","115","0","1","-11"
"1991-01-30","112","0","0","-5"
"1991-01-31","110","0","0","-6"
"1991-02-01","108","0","-6","-16"
"1991-02-02","107","0","-6","-19"
"1991-02-03","106","0","-7","-15"
"1991-02-04","104","0","-4","-14"
"1991-02-05","102","0","-1","-14"
"1991-02-06","122","20","-5","-19"
"1991-02-07","118","0","-8","-23"
"1991-02-08","128","10","-8","-19"
"1991-02-09","130","2","-5","-11"
"1991-02-10","135","5","-2","-16"
"1991-02-11","138","3","-2","-19"
"1991-02-12","135","0","-3","-19"
"1991-02-13","132","0","-4","-18"
"1991-02-14","130","0","-5","-20"
