"Denominazione,""Località"",""Provincia"",""Comune"",""Quota (m s.l.m.)"",""Sensore"",""Settore alpino"",""Longitudine est (wgs84 gradi)"",""Latitudine nord (wgs84 gradi)"",""Data inizio"",""Data fine"""
"CERESOLE REALE,""CAPOLUOGO"",""TO"",""CERESOLE REALE"",""1573"",""Stazione manuale"",""A.Graie"",""7.24444"",""45.43"",""1990-01-01"","""""
"CERESOLE VILLA,""VILLA"",""TO"",""CERESOLE REALE"",""1581"",""Nivometro"",""Alpi Graie"",""7.21083"",""45.44028"",""1999-09-08"","""""
"CERESOLE/L.SERRU',""LAGO SERRU'"",""TO"",""CERESOLE REALE"",""2283"",""Stazione manuale"",""A.Graie"",""7.13444"",""45.46028"",""1990-01-01"","""""
"LAGO AGNEL,""LAGO AGNEL"",""TO"",""CERESOLE REALE"",""2304"",""Nivometro"",""Alpi Graie"",""7.13917"",""45.46778"",""1996-10-11"","""""
"LAGO DI VALSOERA,""LAGO DI VALSOERA"",""TO"",""LOCANA"",""2365"",""Nivometro"",""Alpi Graie"",""7.39278"",""45.48528"",""1987-10-08"",""2010-12-31"""
"LOCANA/EUGIO,""LAGO EUGIO"",""TO"",""LOCANA"",""1900"",""Stazione manuale"",""A.Graie"",""7.4425"",""45.45889"",""1990-01-01"","""""
"LOCANA/ROSONE,""ROSONE"",""TO"",""LOCANA"",""700"",""Stazione manuale"",""A.Graie"",""7.41889"",""45.43556"",""1990-01-01"","""""
"LOCANA/TELESSIO,""LAGO TELESSIO"",""TO"",""LOCANA"",""1940"",""Stazione manuale"",""A.Graie"",""7.37278"",""45.48361"",""1990-01-01"","""""
"LOCANA/VAL SOERA,""LAGO VALSOERA"",""TO"",""LOCANA"",""2412"",""Stazione manuale"",""A.Graie"",""7.39556"",""45.48667"",""1990-01-01"","""""
"ROSONE,""CENTRALE IDROELETTRICA"",""TO"",""LOCANA"",""701"",""Nivometro"",""Alpi Graie"",""7.41833"",""45.43361"",""2005-05-15"","""""
